year;month;nunique_ContractID;sum_premiumAmount;mean_AgeAtPremium;mean_policyAge_months;bin_freq;sum_premiumAmount_prev12months
2014;11;1245;105259.0;36.35557240333586;8.20166793025019;XS;105259.0
2014;12;1264;107333.0;36.61189591078067;8.764312267657992;XS;106296.0
2015;1;1287;109588.0;36.466765140324966;9.259231905465288;XS;107393.33333333333
2015;2;1327;113145.0;36.5255212077642;9.597411933860531;XS;108831.25
2015;3;1379;117564.0;36.40705563093623;9.665535956580733;XS;110577.8
2015;4;1394;119105.0;36.320160750167446;10.15405224380442;XS;111999.0
2015;5;1410;120459.0;36.54497701904137;10.690741956664478;XS;113207.57142857143
2015;6;1430;122612.0;36.61825192802056;11.217223650385604;XS;114383.125
2015;7;1456;124179.0;36.77258370183196;11.54516740366393;XS;115471.55555555556
2015;8;1512;130232.0;36.91370869033048;11.793145654834762;XS;116947.6
2015;9;1543;132992.0;37.10971223021583;12.157074340527577;XS;118406.18181818182
2015;10;1575;134775.0;37.287976539589444;12.55601173020528;XS;119770.25
2015;11;1613;136901.0;37.42168674698795;12.89271371199082;S;122407.08333333333
2015;12;1630;138469.0;37.43353897924846;13.27818283791363;S;125001.75
2016;1;1641;140087.0;37.48611898016997;13.749008498583569;S;127543.33333333333
2016;2;1644;140017.0;37.41596873255165;13.891680625348966;S;129782.66666666667
2016;3;1646;140134.0;37.39876957494407;14.317673378076062;S;131663.5
2016;4;1637;139820.0;37.51868629671574;14.905436013590034;S;133389.75
2016;5;1683;143859.0;37.38105606967883;14.970604246053348;S;135339.75
2016;6;1716;147043.0;37.62081784386617;15.225703664365374;S;137375.66666666666
2016;7;1695;145601.0;37.85273790536949;15.696438064859118;S;139160.83333333334
2016;8;1724;147147.0;37.66267568974492;15.837584591358667;S;140570.41666666666
2016;9;1753;149880.0;37.999482936918305;16.27817993795243;S;141977.75
2016;10;1765;151086.0;38.065625;16.727083333333333;M;143337.0
2016;11;1787;152566.0;38.26734693877551;17.036734693877552;M;144642.41666666666
2016;12;1799;154222.0;38.297474747474745;17.496464646464645;M;145955.16666666666
2017;1;1782;152261.0;38.17607457276023;17.80735370274469;M;146969.66666666666
2017;2;1809;156330.0;38.360913705583755;18.121827411167512;M;148329.08333333334
2017;3;1818;157393.0;38.12166918049271;18.38763197586727;M;149767.33333333334
2017;4;1844;159713.0;38.031642390758414;18.754394776494223;M;151425.08333333334
2017;5;1835;158826.0;38.28707414829659;19.320140280561123;M;152672.33333333334
2017;6;1851;160802.0;38.29294935451837;19.657398212512412;M;153818.91666666666
2017;7;1848;160332.0;38.43593593593594;19.92992992992993;M;155046.5
2017;8;1875;162563.0;38.353652636671505;19.949201741654573;L;156331.16666666666
2017;9;1894;165038.0;38.71093000958773;20.152924256951103;L;157594.33333333334
2017;10;1937;167510.0;38.64971751412429;20.097457627118644;L;158963.0
2017;11;1976;171692.0;38.63179723502304;20.242857142857144;L;160556.83333333334
2017;12;1936;168577.0;38.69626830420406;21.18894662257912;L;161753.08333333334
2018;1;1868;168281.0;38.78431372549019;21.298039215686273;L;163088.08333333334
2018;2;1912;172031.0;38.878037160552644;20.998570747975226;L;164396.5
2018;3;1935;175023.0;38.838454376163874;20.756983240223462;L;165865.66666666666
2018;4;1897;171713.0;38.996210326859305;21.10516342965419;L;166865.66666666666
2018;5;1865;168798.0;39.06647258612324;21.095099466278505;L;167696.66666666666
2018;6;1838;166898.0;39.13086419753086;21.635555555555555;L;168204.66666666666
2018;7;1776;161384.0;39.33179723502304;22.20942140296979;L;168292.33333333334
2018;8;1740;158037.0;39.37071651090343;22.382658359293874;M;167915.16666666666
2018;9;1717;155435.0;39.78306325143753;22.334553058024046;M;167114.91666666666
2018;10;1689;153181.0;40.1974386339381;22.512806830309497;M;165920.83333333334
2018;11;1655;149722.0;40.44627192982456;23.04111842105263;S;164090.0
2018;12;1642;147865.0;40.638781163434906;23.533518005540166;S;162364.0
2019;1;1588;143107.0;40.51093210586882;23.403912543153048;S;160266.16666666666
2019;2;1559;140633.0;40.52851263962375;23.6413874191652;S;157649.66666666666
2019;3;1525;138169.0;40.566825775656326;23.636634844868734;S;154578.5
2019;4;1512;137447.0;40.5057194461168;23.530403371462974;S;151723.0
2019;5;1511;137655.0;40.59582089552239;23.611940298507463;S;149127.75
2019;6;1521;138342.0;40.7265763111373;23.502651738361816;S;146748.08333333334
2019;7;1495;136256.0;40.73630343166767;23.344370860927153;XS;144654.08333333334
2019;8;1494;136294.0;40.64894259818731;23.132930513595166;XS;142842.16666666666
2019;9;1480;134433.0;40.682188591385334;22.863213038416763;XS;141092.0
2019;10;1508;136428.0;40.35609181871689;22.244849911712773;XS;139695.91666666666
2019;11;1515;135847.0;40.402605091770276;21.77442273534636;XS;138539.66666666666
2019;12;1528;136895.0;40.65635939323221;22.004084014002334;XS;137625.5
